COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES,FEES_NORMALIZED,FEE_CATEGORY,DESVIACION_FEE
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Purchasing & resourcing,767267.25,0.0011416381347778746,Baja,-1070096.527457627
CANADA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Project Management,3831425.74,0.005987928455126671,Alta,1994061.9625423732
CANADA,M.ENG,M.ENG in Mechanical,3366154.88,0.005252053443270361,Alta,1528791.102542373
CANADA,M.ENG,M.ENG in Electrical,978603.34,0.0014758884846373433,Media,-858760.437457627
CANADA,M.ENG,M.ENG in Architecture,1069671.21,0.001619921940581648,Media,-767692.567457627
CANADA,M.ENG,M.ENG in Civil ,1102470.97,0.0016717982256747744,Media,-734892.807457627
CANADA,M.ENG,M.ENG in IT & Networking,1726719.6,0.0026591133736781005,Media,-110644.17745762691
CANADA,M.ENG,M.ENG in Chemical,3366154.88,0.005252053443270361,Alta,1528791.102542373
CANADA,M.ENG,M.ENG in Computer Science Engineering,2802428.29,0.004360460294496835,Alta,965064.512542373
CANADA,M.ENG,M.ENG in Aerospace,3366154.88,0.005252053443270361,Alta,1528791.102542373
CANADA,M.ENG,M.ENG in Agriculture,1069671.21,0.001619921940581648,Media,-767692.567457627
CANADA,M.ENG,M.ENG in Biomedical,528186.77,0.0007635071014812437,Baja,-1309177.007457627
CANADA,M.ENG,M.ENG in Biology,681149.17,0.0010054332945670724,Baja,-1156214.607457627
CANADA,M.ENG,M.ENG in Environmental,2963124.74,0.0046146187046087785,Alta,1125760.9625423732
CANADA,M.ENG,M.ENG in Mining,1194972.71,0.0018180994984844003,Media,-642391.067457627
CANADA,M.ENG,M.ENG in Industrial,1321234.2,0.0020177953819763197,Media,-516129.57745762705
CANADA,M.ENG,M.ENG in Nanotechnology,1961135.09,0.003029866232524778,Media,123771.31254237308
CANADA,M.ENG,M.ENG in Nuclear ,1310369.7,0.0020006120276043894,Media,-526994.077457627
CANADA,M.ENG,M.ENG in Software,3527096.86,0.005506600185012747,Alta,1689733.0825423729
CANADA,M.ENG,M.ENG in Texttile,1068036.01,0.0016173356990547504,Media,-769327.767457627
CANADA,M.Sc,M.Sc in Physics,3101854.12,0.004834033873124422,Alta,1264490.342542373
CANADA,M.Sc,M.Sc inChemistry,658853.87,0.0009701709225546923,Baja,-1178509.907457627
CANADA,M.Sc,M.Sc inBiology,2635909.31,0.004097092938153477,Alta,798545.532542373
CANADA,M.Sc,M.Sc inPsychology ,720276.11,0.0010673166831730147,Baja,-1117087.6674576271
CANADA,M.Sc,M.Sc inNursing,802501.66,0.001197365076019155,Baja,-1034862.117457627
CANADA,M.Sc,M.Sc inEnvironment,442980.92,0.000628745049374699,Baja,-1394382.857457627
CANADA,M.Sc,M.Sc inAgriculture,1821061.47,0.00280832500645647,Media,-16302.30745762703
CANADA,M.Sc,M.Sc inEnergy & Environment,1063314.7,0.001609868448575691,Media,-774049.077457627
CANADA,M.Sc,M.Sc inZoology,1363635.52,0.0020848575484264673,Media,-473728.257457627
CANADA,M.Sc,M.Sc inMathematics,2808755.82,0.004370467951571621,Alta,971392.0425423728
CHINA,MBA,MBA in Finance & Accounting,632314312.0,1.0,Alta,612215635.1066667
CHINA,MBA,MBA in Business Administration,5580058.06,0.008753575178010464,Alta,-14518618.833333336
CHINA,MBA,MBA in International Business,1181726.0,0.001797148427363576,Media,-18916950.893333334
CHINA,MBA,MBA in General Management,889021.56,0.0013342054370043812,Media,-19209655.333333336
CHINA,MBA,MBA in Global Business Management,1251175.13,0.001906989562400832,Media,-18847501.763333336
CHINA,MBA,MBA in Executive MBA,1136843.83,0.0017261625345851483,Media,-18961833.063333333
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,214962.05,0.00026810912073581505,Baja,-19883714.843333334
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Logistics & Supply Chain ,253983.09,0.00032982501730549385,Baja,-19844693.803333335
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business ,311706.52,0.00042112071920188347,Baja,-19786970.373333335
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Finance,265527.78,0.00034808416401119435,Baja,-19833149.113333333
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Hospital/Healthcare Management,4202265.69,0.006574451008039275,Alta,-15896411.203333333
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Human Resource Management,372893.36,0.0005178941698548,Baja,-19725783.533333335
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Risk Management,203186.47,0.000249484797106102,Baja,-19895490.423333336
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Project Management,253983.09,0.00032982501730549385,Baja,-19844693.803333335
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Environment,311706.52,0.00042112071920188347,Baja,-19786970.373333335
CHINA,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Finance,184714.98,0.00022027018451946015,Baja,-19913961.913333334
CHINA,M.ENG,M.ENG in Mechanical,412672.7,0.0005808093979740426,Baja,-19686004.193333335
CHINA,M.ENG,M.ENG in Electrical,1551098.16,0.0023813495153478747,Media,-18547578.733333334
CHINA,M.ENG,"M.ENG in 
Architecture",908534.05,0.0013650665010523128,Media,-19190142.843333334
CHINA,M.ENG,M.ENG in Civil ,1551098.16,0.0023813495153478747,Media,-18547578.733333334
CHINA,M.ENG,M.ENG in Chemical,642000.0,0.0009435147468679649,Baja,-19456676.893333334
CHINA,M.ENG,M.ENG in Computer Science Engineering,1551206.08,0.0023815202022275123,Media,-18547470.813333333
CHINA,M.ENG,M.ENG in Agriculture,276930.71,0.0003661191023027234,Baja,-19821746.183333334
CHINA,M.ENG,M.ENG in Biomedical,433000.0,0.0006129591701057139,Baja,-19665676.893333334
CHINA,M.ENG,M.ENG in Environmental,253853.15,0.0003296195034698743,Baja,-19844823.743333336
CHINA,M.ENG,"M.ENG in 
Food Technology",147696.38,0.0001617213583284024,Baja,-19950980.513333336
CHINA,M.ENG,M.ENG in Industrial,253853.15,0.0003296195034698743,Baja,-19844823.743333336
CHINA,M.Sc,M.Sc in Physics,346163.39,0.0004756178988012706,Baja,-19752513.503333334
CHINA,M.Sc,M.Sc in Chemistry,403857.29,0.0005668668958833931,Baja,-19694819.603333335
CHINA,M.Sc,M.Sc in Biology,4996291.59,0.007830286842195569,Alta,-15102385.303333335
